Wavelength,Bel-fruit00000.asd,Bel-fruit00001.asd,Bel-fruit00002.asd,Bel-fruit00003.asd,Bel-fruit00004.asd,Bel-fruit00005.asd,Bel-fruit00006.asd,Bel-fruit00007.asd,Bel-fruit00008.asd,Bel-fruit00009.asd
461,0.2572676,0.257959684,0.256752513,0.257727722,0.257473154,0.256407902,0.256657253,0.256657984,0.256247448,0.256276592
462,0.257210223,0.257382756,0.257390217,0.25757378,0.25720166,0.257265771,0.258436353,0.257991815,0.257854993,0.256639156
463,0.25832543,0.25891117,0.258467237,0.258722223,0.258212273,0.258309556,0.258952717,0.259127034,0.259006883,0.258072368
464,0.259483029,0.260321422,0.259577429,0.25994684,0.259405866,0.259190932,0.259206073,0.260108259,0.25977449,0.259022329
465,0.260004417,0.260403527,0.260303634,0.260393631,0.259858361,0.259566909,0.259803017,0.260837181,0.260372557,0.258896574
466,0.260816036,0.261248902,0.260401383,0.260829346,0.259737694,0.25915929,0.259756627,0.260629805,0.260718673,0.259492468
467,0.26108137,0.26153312,0.260933686,0.261285077,0.260199923,0.259403396,0.260349577,0.260858831,0.261154937,0.2605188
468,0.261131529,0.261590072,0.261456507,0.261795028,0.26094464,0.260433111,0.261196709,0.261438029,0.261726162,0.261445274
469,0.261522947,0.262106718,0.261283877,0.262292215,0.261223039,0.261657285,0.261467843,0.261770007,0.262223863,0.261721844
470,0.261459637,0.262261408,0.261841442,0.262342854,0.261235958,0.261565074,0.261624261,0.261772086,0.261658518,0.261619028
471,0.261692222,0.262622619,0.262479788,0.262256485,0.261567129,0.261918767,0.261590822,0.261686434,0.261761549,0.261517114
472,0.262386798,0.26311889,0.26278263,0.262269151,0.26224072,0.262959433,0.261724445,0.261779293,0.262821022,0.26170503
473,0.262913966,0.262832395,0.262774257,0.262465331,0.26259994,0.262891702,0.262915977,0.26230727,0.263237799,0.262351857
474,0.263160683,0.262644458,0.262779171,0.262555527,0.262511627,0.262934776,0.26292567,0.262901932,0.26281008,0.262329369
475,0.263180174,0.262831035,0.26278386,0.262742951,0.262496453,0.262961272,0.262523617,0.2632772,0.262383484,0.262315399
476,0.263137771,0.263292403,0.262747242,0.263150344,0.262956237,0.262722261,0.262809175,0.263331776,0.262721926,0.262909462
477,0.263340135,0.263158382,0.262863734,0.263044473,0.263184682,0.262681948,0.263041009,0.263455679,0.263142355,0.262541511
478,0.263535667,0.263247144,0.263221374,0.263709085,0.263459427,0.263138659,0.263356245,0.263907793,0.263639207,0.262738587
479,0.263640945,0.263694259,0.263558634,0.264491032,0.263611682,0.263664222,0.263832008,0.26441869,0.264098458,0.263517562
480,0.263746009,0.264068313,0.263437323,0.263461291,0.263220341,0.263377415,0.264441177,0.264361753,0.264314985,0.263738801
481,0.26441258,0.264057506,0.264219082,0.263961148,0.263715587,0.263679534,0.264319099,0.264367205,0.263920591,0.264106468
