Wavelength,teth_ambada00000.asd,teth_ambada00001.asd,teth_ambada00002.asd,teth_ambada00003.asd,teth_ambada00004.asd,teth_ambada00005.asd,teth_ambada00006.asd,teth_ambada00007.asd,teth_ambada00008.asd,teth_ambada00009.asd
434,0.155700814,0.157000596,0.156560725,0.157142075,0.158427462,0.156850132,0.156935544,0.15710864,0.15969716,0.15681661
435,0.15589004,0.1574782,0.15583818,0.156030949,0.157908377,0.157187958,0.156227848,0.155964716,0.159104726,0.156297189
436,0.155244335,0.156392328,0.155414737,0.155369925,0.156890294,0.157220207,0.156481712,0.156054397,0.157405904,0.156967095
437,0.1554931,0.155807379,0.155008269,0.156167185,0.156078937,0.156124221,0.155619517,0.155921506,0.156359819,0.15668562
438,0.154859624,0.154981559,0.15459359,0.156251603,0.156151803,0.155243647,0.155530831,0.155668957,0.156587884,0.156418808
439,0.153702036,0.154149992,0.154024798,0.155808675,0.156137702,0.154954187,0.15549004,0.155428286,0.156837857,0.156018642
440,0.152771221,0.153504276,0.153410507,0.155131622,0.155395667,0.155017028,0.154831963,0.155140189,0.156147895,0.155342327
441,0.153032196,0.152815553,0.153518027,0.153678946,0.154447993,0.154235709,0.153763573,0.154165541,0.154620867,0.154489355
442,0.153418403,0.152708162,0.153183141,0.153383232,0.153784843,0.153467326,0.152941464,0.153736312,0.153960207,0.154139815
443,0.152704285,0.153070427,0.152350286,0.153462604,0.153451936,0.152864999,0.152373876,0.153428126,0.15392661,0.153950955
444,0.150352457,0.153391845,0.151563713,0.152333929,0.153214134,0.152330791,0.151837934,0.15241413,0.153539738,0.153304209
445,0.150960214,0.152942244,0.15191292,0.151707547,0.15250281,0.152083552,0.15165849,0.15242034,0.153318072,0.153098218
446,0.151976699,0.152064178,0.152157506,0.151558713,0.151983205,0.151993738,0.152072696,0.152505978,0.15270601,0.152848529
447,0.151888288,0.151256642,0.151734922,0.151671174,0.151834552,0.151961005,0.152631866,0.152025136,0.151767502,0.152381861
448,0.151492869,0.151106852,0.151282924,0.151836586,0.151413027,0.151993632,0.151955829,0.151026042,0.151518106,0.152124997
449,0.1508666,0.15053531,0.150777071,0.151085324,0.151207218,0.151458351,0.151205988,0.150308708,0.151432772,0.151542071
450,0.150372912,0.149798744,0.150512479,0.150055561,0.151039624,0.150755946,0.150477356,0.150051435,0.151451348,0.151209434
451,0.150240622,0.14945152,0.150607074,0.149688309,0.150733699,0.150506314,0.149761017,0.150146925,0.15157699,0.151569588
